CustomerID,Age,Gender,Item Purchased,Category,PurchaseAmount,Location,Size,Color,Season,Review Rating,Subscription,Shipping,Discount,Promo,Previous Purchases,Payment Method,Frequency of Purchase
CUST0030,53,Female,Coat,Outerwear,289.64,Seattle,L,Red,Fall,4.6,No,Next Day,None,Yes,18,Credit Card,Monthly
CUST0031,40,Female,Sweater,Clothing,146.34,Boston,XL,Blue,Fall,3.8,No,Free Shipping,None,Yes,6,Debit Card,Quarterly
CUST0032,24,Female,Watch,Accessories,116.64,Seattle,S,Purple,Summer,3.1,Yes,Standard,None,No,9,Bank Transfer,Monthly
CUST0033,62,Female,Handbag,Accessories,65.78,Philadelphia,M,Purple,Summer,3.7,Yes,Express,10%,Yes,11,Cash,Monthly
CUST0034,58,Male,Sunglasses,Accessories,123.18,Seattle,L,Black,Spring,5.0,No,Express,None,No,12,Bank Transfer,Rarely
CUST0035,33,Female,Sweater,Clothing,167.94,Houston,XS,White,Fall,3.7,No,Express,None,No,18,PayPal,Rarely
CUST0036,27,Female,Jacket,Clothing,29.26,Dallas,L,Green,Winter,4.0,Yes,Next Day,10%,No,5,Debit Card,Bi-Weekly
CUST0037,44,Female,Jacket,Clothing,25.17,Chicago,XL,Yellow,Summer,3.3,No,Standard,10%,No,12,Debit Card,Monthly
CUST0038,50,Female,Hoodie,Clothing,149.69,New York,M,Green,Summer,2.6,No,Express,20%,No,14,Credit Card,Monthly
CUST0039,38,Female,T-Shirt,Clothing,32.06,Philadelphia,M,Green,Fall,4.1,No,Standard,20%,No,4,Bank Transfer,Monthly
CUST0040,62,Male,Dress,Clothing,53.16,New York,S,Grey,Fall,5.0,No,Express,10%,No,0,Debit Card,Quarterly
CUST0041,47,Female,Loafers,Footwear,181.49,Phoenix,XL,White,Fall,3.4,Yes,Express,10%,No,22,Debit Card,Monthly
CUST0042,68,Male,Dress,Clothing,136.22,Philadelphia,XS,Grey,Fall,5.0,No,Free Shipping,10%,No,24,Bank Transfer,Bi-Weekly
CUST0043,34,Female,Raincoat,Outerwear,66.56,Chicago,XS,Pink,Fall,3.9,No,Free Shipping,None,No,1,Cash,Monthly
CUST0044,44,Male,Blazer,Outerwear,293.28,Boston,M,Blue,Spring,3.4,Yes,Next Day,None,Yes,28,Credit Card,Monthly
CUST0045,51,Male,Skirt,Clothing,100.55,Seattle,XXL,Grey,Summer,3.7,Yes,Next Day,None,Yes,24,Credit Card,Weekly
CUST0046,32,Male,Heels,Footwear,103.54,Boston,L,Pink,Summer,3.8,No,Standard,None,Yes,21,PayPal,Quarterly
CUST0047,60,Male,Raincoat,Outerwear,57.62,Seattle,XL,Purple,Fall,3.5,Yes,Free Shipping,None,No,18,Credit Card,Rarely
CUST0048,27,Male,Heels,Footwear,155.03,Houston,XXL,White,Fall,4.5,No,Standard,10%,No,17,Bank Transfer,Monthly
CUST0049,62,Female,Sandals,Footwear,147.07,Philadelphia,L,Grey,Fall,3.5,No,Free Shipping,10%,No,5,Cash,Rarely
CUST0050,45,Male,Windbreaker,Outerwear,266.38,Philadelphia,XS,Grey,Summer,3.6,No,Standard,20%,No,5,Debit Card,Bi-Weekly
CUST0051,43,Female,Watch,Accessories,118.09,New York,S,Yellow,Spring,4.3,No,Free Shipping,10%,No,11,Credit Card,Monthly
CUST0052,40,Female,Sweater,Clothing,178.39,Dallas,S,Red,Spring,3.2,Yes,Standard,20%,No,12,PayPal,Monthly
CUST0053,61,Female,Raincoat,Outerwear,81.07,Chicago,M,Black,Winter,3.9,No,Next Day,30%,Yes,11,Credit Card,Quarterly
CUST0054,38,Male,Belt,Accessories,133.11,Boston,XXL,Red,Spring,3.9,No,Standard,20%,No,26,PayPal,Monthly
CUST0055,42,Male,Sneakers,Footwear,201.42,Dallas,M,Pink,Fall,4.4,No,Free Shipping,10%,Yes,7,Cash,Quarterly
CUST0056,47,Male,Heels,Footwear,141.03,Philadelphia,XS,Black,Spring,2.1,Yes,Free Shipping,None,Yes,28,Debit Card,Quarterly
CUST0057,55,Male,Handbag,Accessories,31.04,Houston,L,White,Fall,4.8,No,Free Shipping,10%,No,4,PayPal,Monthly
CUST0058,57,Female,Jeans,Clothing,56.38,Boston,XXL,Purple,Spring,3.5,Yes,Express,10%,Yes,22,Cash,Monthly
CUST0059,21,Male,Hoodie,Clothing,167.6,Boston,XS,Yellow,Fall,3.2,No,Next Day,30%,No,27,Credit Card,Weekly
CUST0060,53,Female,Raincoat,Outerwear,259.37,Philadelphia,M,Grey,Fall,4.2,No,Standard,20%,Yes,0,Credit Card,Weekly
CUST0061,69,Male,Shorts,Clothing,158.16,Los Angeles,M,Black,Winter,3.8,Yes,Next Day,30%,Yes,26,Credit Card,Monthly
CUST0062,50,Male,Hoodie,Clothing,144.88,Philadelphia,S,White,Spring,4.4,No,Standard,40%,Yes,10,Cash,Monthly
CUST0063,18,Female,Shorts,Clothing,30.73,New York,XL,Grey,Fall,3.2,Yes,Express,20%,No,18,Cash,Monthly
CUST0064,21,Male,Boots,Footwear,96.86,San Diego,M,Purple,Summer,4.3,No,Express,None,Yes,22,Cash,Quarterly
CUST0065,20,Female,Handbag,Accessories,43.44,Phoenix,M,Blue,Spring,5.0,No,Next Day,None,Yes,24,PayPal,Rarely
CUST0066,38,Female,Raincoat,Outerwear,123.29,Los Angeles,S,Pink,Spring,3.9,Yes,Free Shipping,None,No,15,Bank Transfer,Monthly
CUST0067,22,Female,Blazer,Outerwear,133.97,Houston,XL,Green,Summer,3.5,No,Standard,None,Yes,22,Cash,Rarely
CUST0068,27,Female,Handbag,Accessories,85.68,San Diego,XS,White,Fall,4.6,No,Standard,10%,No,13,Credit Card,Bi-Weekly
CUST0069,43,Female,Scarf,Accessories,145.58,Los Angeles,XL,Purple,Winter,4.6,No,Express,10%,No,5,Debit Card,Quarterly
CUST0070,38,Male,Skirt,Clothing,164.0,Dallas,S,Brown,Spring,4.7,Yes,Standard,30%,No,5,Debit Card,Monthly
CUST0071,60,Male,Skirt,Clothing,33.25,Dallas,M,Red,Spring,2.7,No,Next Day,10%,No,20,Bank Transfer,Monthly
CUST0072,37,Male,Shorts,Clothing,115.21,New York,XXL,White,Spring,4.2,No,Standard,None,No,10,Credit Card,Monthly
CUST0073,42,Male,Sandals,Footwear,49.05,New York,XL,Black,Summer,3.6,No,Standard,None,No,26,PayPal,Quarterly
CUST0074,33,Female,Sunglasses,Accessories,157.18,Seattle,L,Purple,Spring,3.3,No,Free Shipping,None,No,17,Credit Card,Bi-Weekly
CUST0075,24,Female,Sandals,Footwear,57.3,Los Angeles,M,Pink,Spring,3.2,No,Express,None,No,7,PayPal,Quarterly
CUST0076,41,Male,Shorts,Clothing,109.71,Los Angeles,M,Green,Fall,4.3,Yes,Free Shipping,None,No,12,Credit Card,Monthly
CUST0077,35,Male,Loafers,Footwear,198.91,Chicago,S,White,Summer,2.8,Yes,Standard,10%,No,22,PayPal,Weekly
CUST0078,66,Male,Sweater,Clothing,26.02,Seattle,L,Brown,Summer,4.2,Yes,Free Shipping,None,No,11,Credit Card,Weekly
CUST0079,67,Female,Skirt,Clothing,134.49,Seattle,XS,Brown,Winter,2.6,Yes,Free Shipping,30%,No,20,PayPal,Monthly
CUST0080,63,Female,Blazer,Outerwear,166.85,Los Angeles,XS,Pink,Winter,4.3,Yes,Next Day,30%,No,12,Bank Transfer,Quarterly
CUST0081,51,Male,Dress,Clothing,55.28,Phoenix,XL,Yellow,Fall,4.2,Yes,Standard,30%,No,5,Bank Transfer,Bi-Weekly
CUST0082,34,Female,Sandals,Footwear,201.03,Philadelphia,XL,Grey,Spring,3.3,No,Standard,30%,No,2,PayPal,Quarterly
CUST0083,46,Male,Jacket,Clothing,27.1,Los Angeles,L,Yellow,Winter,4.2,No,Next Day,10%,Yes,10,Cash,Weekly
CUST0084,34,Female,Coat,Outerwear,173.79,Chicago,S,Blue,Winter,3.6,No,Next Day,10%,Yes,29,PayPal,Quarterly
CUST0085,65,Male,Dress,Clothing,73.44,San Diego,XL,Purple,Spring,4.0,Yes,Free Shipping,None,No,27,Bank Transfer,Quarterly
CUST0086,19,Female,Jacket,Clothing,141.06,San Diego,S,Black,Spring,3.3,No,Free Shipping,None,Yes,11,Bank Transfer,Quarterly
CUST0087,24,Female,Skirt,Clothing,89.16,Phoenix,XL,Yellow,Winter,3.5,Yes,Next Day,None,Yes,14,Credit Card,Quarterly
CUST0088,18,Female,Watch,Accessories,105.03,Los Angeles,S,Red,Fall,4.6,Yes,Standard,None,Yes,26,Credit Card,Monthly
CUST0089,28,Female,Boots,Footwear,35.19,New York,M,Brown,Fall,3.7,No,Standard,20%,Yes,3,Debit Card,Quarterly
CUST0090,44,Male,Dress,Clothing,172.14,Dallas,L,Green,Fall,2.9,No,Free Shipping,40%,No,11,Bank Transfer,Rarely
CUST0091,55,Male,Jacket,Clothing,139.33,Los Angeles,L,Grey,Winter,4.1,Yes,Standard,None,Yes,23,PayPal,Quarterly
CUST0092,46,Female,Belt,Accessories,57.65,Boston,M,Red,Summer,3.6,No,Express,None,Yes,23,Cash,Bi-Weekly
CUST0093,39,Female,Sneakers,Footwear,95.3,New York,XL,White,Summer,2.7,No,Express,40%,No,12,PayPal,Quarterly
CUST0094,58,Female,Watch,Accessories,120.02,Dallas,XS,Black,Winter,5.0,No,Next Day,None,No,18,Cash,Quarterly
CUST0095,50,Female,Sandals,Footwear,133.83,Los Angeles,XXL,Pink,Summer,3.4,No,Express,20%,Yes,6,Cash,Weekly
CUST0096,23,Male,Boots,Footwear,208.2,Seattle,S,Grey,Winter,4.6,No,Express,20%,No,6,PayPal,Rarely
CUST0097,39,Female,Sandals,Footwear,123.97,San Diego,L,Brown,Spring,5.0,No,Free Shipping,40%,Yes,11,Bank Transfer,Quarterly
CUST0098,61,Female,Boots,Footwear,38.86,Philadelphia,XL,Grey,Spring,3.5,No,Next Day,None,No,18,Bank Transfer,Monthly
CUST0099,29,Male,Shorts,Clothing,158.92,Phoenix,L,Red,Winter,4.5,Yes,Standard,10%,No,19,Debit Card,Quarterly
CUST0100,32,Female,Sandals,Footwear,181.7,Boston,M,Blue,Summer,4.5,No,Next Day,None,No,6,Bank Transfer,Quarterly
CUST0101,53,Female,Hoodie,Clothing,116.3,San Diego,XL,Green,Summer,2.8,No,Express,None,No,1,Credit Card,Monthly
CUST0102,42,Male,T-Shirt,Clothing,83.85,Phoenix,XL,Black,Winter,4.9,No,Next Day,40%,No,2,PayPal,Rarely
CUST0103,27,Male,Hoodie,Clothing,73.92,Dallas,M,Black,Spring,3.6,Yes,Next Day,None,No,19,Bank Transfer,Monthly
CUST0104,45,Male,Scarf,Accessories,140.9,Houston,S,White,Spring,4.7,No,Next Day,None,No,11,PayPal,Monthly
CUST0105,50,Male,Coat,Outerwear,196.17,Dallas,M,White,Spring,3.1,No,Standard,10%,Yes,17,PayPal,Monthly
CUST0106,40,Female,Heels,Footwear,59.55,Los Angeles,S,Pink,Winter,5.0,No,Standard,20%,Yes,19,Bank Transfer,Rarely
CUST0107,43,Male,T-Shirt,Clothing,129.32,Dallas,XS,Grey,Spring,5.0,No,Standard,10%,No,7,Bank Transfer,Monthly
CUST0108,45,Female,Flats,Footwear,219.89,Seattle,XS,Brown,Spring,3.8,No,Standard,None,Yes,5,PayPal,Quarterly
CUST0109,21,Female,Skirt,Clothing,90.11,Dallas,XXL,Yellow,Fall,4.4,Yes,Free Shipping,10%,No,0,Bank Transfer,Monthly
CUST0110,66,Female,Sneakers,Footwear,104.05,Philadelphia,S,Blue,Winter,3.5,No,Express,20%,No,11,Bank Transfer,Quarterly
CUST0111,45,Male,Flats,Footwear,185.55,San Diego,XXL,White,Winter,2.6,No,Standard,20%,No,3,Bank Transfer,Rarely
CUST0112,68,Male,Dress,Clothing,51.54,Philadelphia,M,White,Summer,3.9,No,Next Day,10%,No,12,Bank Transfer,Quarterly
CUST0113,53,Female,Sandals,Footwear,167.49,San Diego,L,Purple,Fall,3.3,No,Free Shipping,None,No,24,Bank Transfer,Bi-Weekly
CUST0114,24,Female,Windbreaker,Outerwear,187.56,Boston,M,Pink,Summer,2.6,No,Express,10%,No,23,Debit Card,Bi-Weekly
CUST0115,25,Female,Jeans,Clothing,76.55,Dallas,M,Red,Winter,4.4,No,Standard,None,No,17,Credit Card,Monthly
CUST0116,52,Female,T-Shirt,Clothing,158.05,Phoenix,XS,Yellow,Winter,3.3,Yes,Free Shipping,10%,No,22,Debit Card,Bi-Weekly
CUST0117,42,Female,Sneakers,Footwear,85.79,Philadelphia,XL,Pink,Spring,5.0,No,Free Shipping,None,No,9,Cash,Quarterly
CUST0118,63,Female,Loafers,Footwear,50.85,Houston,M,Brown,Winter,4.5,Yes,Express,None,Yes,0,Credit Card,Quarterly
CUST0119,44,Female,Heels,Footwear,134.9,Boston,M,Yellow,Summer,4.0,Yes,Next Day,20%,No,21,Debit Card,Monthly
CUST0120,61,Female,Skirt,Clothing,173.22,Seattle,S,Brown,Fall,4.4,No,Standard,None,No,12,PayPal,Rarely
CUST0121,68,Female,Jacket,Clothing,23.2,Seattle,XXL,Green,Winter,4.4,No,Express,20%,No,0,Bank Transfer,Quarterly
CUST0122,31,Female,Backpack,Accessories,58.95,Los Angeles,XS,Green,Summer,4.4,No,Standard,10%,No,17,Debit Card,Monthly
CUST0123,39,Male,Boots,Footwear,141.3,New York,S,Yellow,Summer,2.3,No,Express,30%,No,11,PayPal,Quarterly
CUST0124,32,Male,T-Shirt,Clothing,23.66,Los Angeles,M,White,Summer,4.7,No,Next Day,30%,No,26,Bank Transfer,Quarterly
CUST0125,18,Female,Raincoat,Outerwear,274.57,Seattle,XXL,Brown,Spring,3.4,Yes,Next Day,10%,No,2,Cash,Weekly
CUST0126,30,Male,Scarf,Accessories,88.39,Philadelphia,XL,White,Winter,4.5,Yes,Free Shipping,None,No,17,Debit Card,Bi-Weekly
CUST0127,48,Female,Sandals,Footwear,90.01,Seattle,L,Blue,Fall,2.9,No,Next Day,10%,No,20,Credit Card,Bi-Weekly
CUST0128,69,Female,Sweater,Clothing,104.33,Los Angeles,XL,Red,Fall,3.6,No,Standard,None,No,6,Bank Transfer,Monthly
CUST0129,19,Female,Blazer,Outerwear,170.34,Phoenix,XS,Green,Summer,3.4,Yes,Standard,None,Yes,6,Cash,Monthly
CUST0130,38,Female,Dress,Clothing,62.56,Boston,XXL,Red,Summer,4.1,Yes,Next Day,20%,No,20,Bank Transfer,Monthly
CUST0131,59,Male,Sweater,Clothing,41.3,New York,S,Black,Summer,4.0,No,Next Day,30%,No,8,PayPal,Monthly
CUST0132,25,Male,Skirt,Clothing,118.23,San Diego,XL,Blue,Spring,3.3,No,Standard,None,Yes,27,Credit Card,Quarterly
CUST0133,41,Male,Boots,Footwear,37.24,Houston,M,Pink,Fall,2.8,Yes,Free Shipping,None,No,10,Debit Card,Weekly
CUST0134,34,Male,Jacket,Clothing,145.2,Seattle,XS,White,Fall,3.1,Yes,Standard,None,Yes,7,Credit Card,Monthly
CUST0135,67,Female,Flats,Footwear,182.76,Los Angeles,M,Purple,Fall,4.9,Yes,Express,None,No,30,PayPal,Monthly
CUST0136,39,Female,Jeans,Clothing,58.51,Chicago,XXL,Black,Winter,5.0,No,Express,20%,No,20,Credit Card,Bi-Weekly
CUST0137,30,Female,Loafers,Footwear,120.2,San Diego,L,Yellow,Summer,4.2,No,Express,10%,No,6,Debit Card,Bi-Weekly
CUST0138,67,Male,Belt,Accessories,85.82,Dallas,L,Yellow,Fall,4.4,No,Standard,10%,Yes,22,PayPal,Bi-Weekly
CUST0139,64,Male,Jacket,Clothing,141.78,Dallas,XS,Green,Fall,3.7,No,Next Day,None,No,15,Debit Card,Bi-Weekly
CUST0140,56,Male,Flats,Footwear,69.78,Seattle,L,Red,Summer,2.9,No,Express,None,No,8,Credit Card,Rarely
CUST0141,33,Male,Dress,Clothing,154.72,Houston,XL,Red,Winter,4.0,No,Express,10%,No,25,Bank Transfer,Weekly
CUST0142,55,Female,Jeans,Clothing,76.88,Houston,XS,Pink,Fall,1.3,No,Express,20%,Yes,24,Debit Card,Monthly
CUST0143,41,Female,Flats,Footwear,145.88,New York,XXL,Blue,Summer,3.6,No,Next Day,20%,No,18,Cash,Monthly
CUST0144,47,Male,Jacket,Clothing,137.68,Los Angeles,L,Black,Fall,3.8,No,Free Shipping,40%,No,0,Bank Transfer,Bi-Weekly
CUST0145,65,Male,Heels,Footwear,56.89,San Diego,XS,Purple,Winter,4.7,Yes,Next Day,None,Yes,10,Bank Transfer,Quarterly
CUST0146,62,Female,Flats,Footwear,130.84,Chicago,XL,Blue,Summer,3.6,No,Express,30%,No,12,Bank Transfer,Monthly
CUST0147,22,Female,Hoodie,Clothing,41.36,Chicago,XS,Grey,Spring,4.0,Yes,Standard,None,No,17,Cash,Monthly
CUST0148,53,Male,Coat,Outerwear,67.24,Boston,XXL,Yellow,Winter,3.5,Yes,Free Shipping,30%,Yes,11,Debit Card,Quarterly
CUST0149,62,Female,T-Shirt,Clothing,25.38,San Diego,XXL,White,Winter,3.9,No,Next Day,None,No,0,Bank Transfer,Weekly
CUST0150,31,Male,Hoodie,Clothing,99.12,Los Angeles,XL,Blue,Fall,3.0,Yes,Next Day,None,Yes,20,Bank Transfer,Monthly
CUST0151,50,Female,T-Shirt,Clothing,135.2,San Diego,XS,Black,Winter,3.2,Yes,Express,None,No,21,Credit Card,Monthly
CUST0152,51,Male,Skirt,Clothing,88.58,Los Angeles,XXL,Brown,Summer,3.7,Yes,Next Day,None,No,4,Cash,Weekly
CUST0153,27,Male,Heels,Footwear,44.61,Phoenix,L,Purple,Fall,3.3,No,Next Day,10%,Yes,6,Bank Transfer,Monthly
CUST0154,44,Male,Skirt,Clothing,92.2,Boston,XS,White,Spring,4.3,Yes,Free Shipping,30%,No,25,Cash,Quarterly
CUST0155,42,Male,Shorts,Clothing,80.87,Seattle,L,Green,Spring,3.9,Yes,Standard,None,No,23,Debit Card,Bi-Weekly
CUST0156,19,Male,Heels,Footwear,148.49,Chicago,M,White,Fall,2.7,No,Standard,10%,Yes,12,Bank Transfer,Quarterly
CUST0157,21,Female,Sunglasses,Accessories,104.22,New York,XL,Pink,Spring,3.8,No,Standard,None,No,15,Debit Card,Monthly
CUST0158,22,Male,Dress,Clothing,34.88,Seattle,L,White,Summer,4.9,Yes,Standard,40%,Yes,3,Credit Card,Quarterly
CUST0159,61,Male,Boots,Footwear,122.17,Dallas,S,Yellow,Fall,3.7,No,Express,None,No,20,Debit Card,Weekly
CUST0160,51,Male,Jacket,Clothing,138.35,Boston,M,Brown,Fall,4.8,No,Express,20%,No,17,PayPal,Monthly
CUST0161,51,Female,Hoodie,Clothing,70.39,Dallas,M,Red,Summer,4.2,No,Express,None,Yes,0,Credit Card,Monthly
CUST0162,53,Female,Flats,Footwear,78.06,Chicago,L,White,Fall,3.0,No,Free Shipping,None,Yes,8,Debit Card,Monthly
CUST0163,70,Female,Jacket,Clothing,40.62,Houston,XS,Brown,Winter,4.8,No,Express,40%,Yes,26,Credit Card,Bi-Weekly
CUST0164,36,Male,Raincoat,Outerwear,259.87,San Diego,XXL,Brown,Fall,3.5,No,Standard,None,No,12,Bank Transfer,Monthly
CUST0165,26,Female,Skirt,Clothing,110.75,Chicago,XS,Brown,Winter,4.4,Yes,Next Day,30%,No,20,Credit Card,Rarely
CUST0166,66,Female,Loafers,Footwear,41.41,Los Angeles,XL,Green,Spring,3.4,Yes,Standard,10%,Yes,2,Bank Transfer,Monthly
CUST0167,34,Female,Dress,Clothing,160.64,Dallas,L,Yellow,Winter,4.3,No,Free Shipping,10%,No,14,Bank Transfer,Bi-Weekly
CUST0168,37,Male,Raincoat,Outerwear,225.66,San Diego,L,Red,Summer,5.0,No,Free Shipping,20%,No,3,Debit Card,Monthly
CUST0169,40,Female,Windbreaker,Outerwear,67.73,Philadelphia,S,Grey,Fall,3.2,Yes,Standard,10%,No,11,PayPal,Bi-Weekly
CUST0170,37,Female,Loafers,Footwear,144.31,Philadelphia,XS,Black,Summer,2.8,No,Next Day,None,Yes,28,Bank Transfer,Monthly
CUST0171,60,Female,Jeans,Clothing,169.08,New York,XL,Blue,Fall,3.2,No,Standard,None,No,8,PayPal,Monthly
CUST0172,18,Female,Coat,Outerwear,155.46,Dallas,XL,Green,Spring,3.7,No,Next Day,None,No,11,Cash,Quarterly
CUST0173,63,Male,Dress,Clothing,134.81,New York,L,White,Spring,3.5,Yes,Next Day,10%,No,3,Cash,Weekly
CUST0174,19,Male,Shorts,Clothing,123.38,Los Angeles,M,Purple,Summer,4.2,No,Express,None,Yes,9,PayPal,Quarterly
CUST0175,46,Female,Jeans,Clothing,152.64,New York,XL,Purple,Spring,4.0,Yes,Standard,None,No,10,Credit Card,Weekly
CUST0176,35,Female,Dress,Clothing,127.67,Seattle,XL,Yellow,Summer,5.0,No,Next Day,20%,No,22,Cash,Monthly
CUST0177,65,Female,Belt,Accessories,68.82,Dallas,S,Grey,Winter,5.0,No,Next Day,None,No,0,Cash,Monthly
CUST0178,45,Male,Sandals,Footwear,98.01,New York,XS,Yellow,Winter,4.4,No,Express,30%,No,30,Credit Card,Weekly
CUST0179,22,Female,Jeans,Clothing,24.41,Boston,M,Yellow,Fall,4.2,No,Express,None,Yes,3,Bank Transfer,Monthly
CUST0180,54,Female,Sweater,Clothing,79.97,San Diego,XXL,Red,Summer,3.8,No,Standard,None,No,2,Cash,Weekly
CUST0181,21,Male,Raincoat,Outerwear,88.54,Phoenix,M,Pink,Fall,5.0,Yes,Express,None,Yes,21,Credit Card,Monthly
CUST0182,61,Male,Loafers,Footwear,138.18,New York,L,Grey,Spring,5.0,No,Free Shipping,20%,Yes,18,Bank Transfer,Rarely
CUST0183,39,Male,Windbreaker,Outerwear,248.13,Phoenix,XS,Green,Winter,5.0,No,Free Shipping,40%,No,7,PayPal,Monthly
CUST0184,38,Female,Skirt,Clothing,146.48,Phoenix,XS,Grey,Winter,3.6,No,Express,30%,Yes,27,PayPal,Monthly
CUST0185,49,Female,Jacket,Clothing,114.2,Dallas,M,Brown,Fall,2.7,No,Free Shipping,30%,No,0,Cash,Quarterly
CUST0186,24,Male,Scarf,Accessories,84.09,Seattle,L,Black,Spring,3.2,No,Next Day,None,Yes,30,PayPal,Monthly
CUST0187,48,Male,Flats,Footwear,38.54,Chicago,XXL,Purple,Summer,5.0,No,Standard,None,No,10,PayPal,Bi-Weekly
CUST0188,52,Male,Blazer,Outerwear,100.16,New York,XXL,Pink,Fall,3.6,No,Standard,10%,Yes,25,Bank Transfer,Quarterly
CUST0189,18,Female,Handbag,Accessories,116.5,Houston,XXL,Yellow,Fall,3.6,Yes,Free Shipping,10%,No,1,Debit Card,Weekly
CUST0190,33,Female,Skirt,Clothing,32.3,Los Angeles,S,Yellow,Winter,3.1,Yes,Express,None,Yes,22,Cash,Quarterly
CUST0191,31,Female,Shorts,Clothing,84.82,San Diego,XS,Black,Spring,3.6,Yes,Standard,10%,No,20,Credit Card,Quarterly
CUST0192,40,Female,Shorts,Clothing,91.9,Houston,XXL,Red,Winter,4.3,No,Express,10%,Yes,9,Bank Transfer,Quarterly
CUST0193,30,Male,Heels,Footwear,178.44,Los Angeles,S,Grey,Summer,3.8,No,Standard,20%,Yes,13,Credit Card,Monthly
CUST0194,39,Female,Hoodie,Clothing,163.32,Los Angeles,XS,Yellow,Spring,2.5,No,Next Day,None,Yes,23,Credit Card,Bi-Weekly
